Iterations,Elapsed time,Pressure,Filtered Pressure,Raw Pressure,Raw Temperature,Filtered
1,59.0,942.47009,942.47009,7520187,4731136,4731136
2,62.0,942.41772,942.41772,7520136,4731136,4731136
3,62.0,942.47009,942.47009,7520187,4731136,4731136
4,60.0,942.47009,942.47009,7520187,4731136,4731136
5,61.0,942.47333,942.47333,7520190,4731136,4731136
6,61.0,942.47333,942.47333,7520190,4731136,4731136
7,62.0,942.52631,942.52631,7520241,4731136,4731136
8,62.0,942.41968,942.41968,7520138,4731136,4731136
9,63.0,942.47333,942.47333,7520190,4731136,4731136
10,62.0,942.47333,942.47333,7520190,4731136,4731136
11,61.0,942.47333,942.47333,7520190,4731136,4731136
12,62.0,942.47009,942.47009,7520187,4731136,4731136
13,61.0,942.44421,942.44421,7520162,4731136,4731136
14,61.0,942.44421,942.44421,7520162,4731136,4731136
15,61.0,942.44421,942.44421,7520162,4731136,4731136
16,60.0,942.47009,942.47009,7520187,4731136,4731136
17,63.0,942.44684,942.44684,7520164,4731136,4731136
18,61.0,942.44684,942.44684,7520164,4731136,4731136
19,61.0,942.44684,942.44684,7520164,4731136,4731136
20,61.0,942.49915,942.49915,7520215,4731136,4731136
