Iterations,Elapsed time,Pressure,Filtered Pressure,Raw Pressure,Raw Temperature,Filtered
1,62.0,942.44421,942.44421,7520162,4731136,4731136
2,62.0,942.44421,942.44421,7520162,4731136,4731136
3,62.0,942.47333,942.47333,7520190,4731136,4731136
4,59.0,942.44684,942.44684,7520164,4731136,4731136
