Iterations,Elapsed time,Pressure,Error,Status,Baro Pressure
96,0.06248188018798828,939.50494,16908288,6296576,939.94971
97,0.062047481536865234,939.55988,16908288,6296576,939.94971
98,0.061460256576538086,939.55988,16908288,6296576,939.94971
99,0.061000823974609375,939.53143,16908288,6296576,939.94971
100,0.06347227096557617,939.53143,16908288,6296576,939.94971
101,0.06262826919555664,939.53271,16908288,6296576,939.94971
102,0.0614166259765625,939.55859,16908288,6296576,939.94971
103,0.061223506927490234,939.55859,16908288,6296576,939.9458
104,0.061202049255371094,939.50494,16908288,6296576,939.9458
105,0.06007075309753418,939.53271,16908288,6296576,939.9458
106,0.06246590614318848,939.53143,16908288,6296576,939.9458
107,0.06083226203918457,939.53143,16908288,6296576,939.9458
108,0.06043648719787598,939.53082,16908288,6296576,939.9458
109,0.06190633773803711,939.50562,16908288,6296576,939.9458
110,0.060875892639160156,939.53143,16908288,6296576,939.9458
111,0.06110358238220215,939.53143,16908288,6296576,939.94629
112,0.061579227447509766,939.53143,16908288,6296576,939.94629
113,0.06180763244628906,939.50562,16908288,6296576,939.94629
114,0.0634458065032959,939.50494,16908288,6296576,939.94629
115,0.060751914978027344,939.50494,16908288,6296576,939.94629
116,0.06186652183532715,939.50494,16908288,6296576,939.94629
117,0.0621645450592041,939.53271,16908288,6296576,939.94629
118,0.06078600883483887,939.50494,16908288,6296576,939.94629
119,0.06047320365905762,939.50494,16908288,6296576,939.94629
120,0.06294655799865723,939.50562,16908288,6296576,939.94751
121,0.06125760078430176,939.50562,16908288,6296576,939.94751
122,0.06168317794799805,939.53143,16908288,6296576,939.94751
123,0.0614781379699707,939.50494,16908288,6296576,939.94751
124,0.062197208404541016,939.53271,16908288,6296576,939.94751
125,0.06115293502807617,939.53143,16908288,6296576,939.94751
126,0.06217455863952637,939.53143,16908288,6296576,939.94751
127,0.06132006645202637,939.55859,16908288,6296576,939.94751
128,0.061284780502319336,939.55988,16908288,6296576,939.94946
129,0.062348127365112305,939.53143,16908288,6296576,939.94946
130,0.06232881546020508,939.53143,16908288,6296576,939.94946
