Iterations,Elapsed time,Pressure,Filtered Pressure,Raw Pressure,Raw Temperature,Filtered
1,60.0,942.47333,942.47333,7520190,4731136,4731136
2,62.0,942.47333,942.47333,7520190,4731136,4731136
3,62.0,942.47333,942.47333,7520190,4731136,4731136
4,62.0,942.47333,942.47333,7520190,4731136,4731136
5,62.0,942.47333,942.47333,7520190,4731136,4731136
6,62.0,942.47333,942.47333,7520190,4731136,4731136
7,63.0,942.47333,942.47333,7520190,4731136,4731136
8,61.0,942.47333,942.47333,7520190,4731136,4731136
9,60.0,942.44421,942.44421,7520162,4731136,4731136
10,61.0,942.44421,942.44421,7520162,4731136,4731136
11,62.0,942.49725,942.49725,7520213,4731136,4731136
12,61.0,942.44421,942.44421,7520162,4731136,4731136
13,61.0,942.47009,942.47009,7520187,4731136,4731136
14,62.0,942.47333,942.47333,7520190,4731136,4731136
15,64.0,942.47333,942.47333,7520190,4731136,4731136
16,61.0,942.44684,942.44684,7520164,4731136,4731136
17,62.0,942.44684,942.44684,7520164,4731136,4731136
18,61.0,942.47333,942.47333,7520190,4731136,4731136
19,61.0,942.47333,942.47333,7520190,4731136,4731136
20,63.0,942.47333,942.47333,7520190,4731136,4731136
