0,7519543,4708352,290791,2291,941.3209625960781,0.086868
1,7519567,4708352,290917,2292,941.3457784273614,0.097659
2,7519569,4708352,290790,2291,941.3478464196633,0.096263
3,7519517,4708352,290792,2291,941.29407893794,0.096564
4,7519515,4708352,290919,2292,941.2920109710876,0.101344
5,7519543,4708352,290791,2291,941.3209625960781,0.099486
6,7519541,4708352,290918,2292,941.3188946164992,0.082696
7,7519517,4708352,290792,2291,941.29407893794,0.10015
8,7519569,4708352,290790,2291,941.3478464196633,0.099835
9,7519517,4708352,290792,2291,941.29407893794,0.100394
